StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,CouldLearn_1,CouldLearn_2,CouldLearn_3,Confidence_NC,Confidence_MS,Confidence_CV,Slope,turkid,condid,Q_DataPolicyViolations
9/12/2025 21:20,9/12/2025 21:22,0,100,63,1,9/12/2025 21:22,R_33BhlJt12rQ2MQN,anonymous,EN,1,1,1,3,3,2,2,5EBF332C075D45F79B182475C7704A38,0,NA
9/12/2025 21:23,9/12/2025 21:24,0,100,53,1,9/12/2025 21:24,R_6p9kyW7w4GkZec0,anonymous,EN,-1,-1,-1,5,5,4,1,45A6EA149D8642C793BE8E02D7755628,1,NA
9/12/2025 21:22,9/12/2025 21:25,0,100,143,1,9/12/2025 21:25,R_7AXBLINxs20iwFy,anonymous,EN,-1,1,1,4,5,2,1,583B48DB907C40209E1A17E7E6700800,1,NA
9/12/2025 21:25,9/12/2025 21:26,0,100,74,1,9/12/2025 21:26,R_37QvJn2Ub8B7hmx,anonymous,EN,-1,-1,-1,4,1,1,1,8629D06659DE40C28BECB6CC28781A86,0,NA
9/12/2025 21:23,9/12/2025 21:26,0,100,172,1,9/12/2025 21:26,R_7PYNUDSdN1QxeMs,anonymous,EN,1,1,1,3,3,3,1,F7C861B213C4411A8426FA96EC1272BB,1,NA
9/12/2025 21:24,9/12/2025 21:26,0,100,119,1,9/12/2025 21:26,R_1rpQNOOJY1zHuZr,anonymous,EN,0,1,0,4,2,2,2,1F11392E191E461C9499760D3ED2A5B7,1,NA
9/12/2025 21:28,9/12/2025 21:28,0,100,27,1,9/12/2025 21:28,R_5nNuBmhttcl3diM,anonymous,EN,-1,-1,-1,2,4,4,2,78A80DD289D442C09F8ED5FD1FE7D3A9,0,NA
9/12/2025 21:26,9/12/2025 21:29,0,100,200,1,9/12/2025 21:29,R_7Db82VHhZpGbnHT,anonymous,EN,1,1,1,5,4,4,2,356A4159412E4BCBB5A7A05FBB2725A6,0,NA
9/12/2025 21:28,9/12/2025 21:32,0,100,279,1,9/12/2025 21:32,R_5QKUK1zTgPOj0xm,anonymous,EN,1,1,1,3,4,4,1,79D93986FCA9424C8C6DEFF85D636AB8,1,NA
9/12/2025 21:32,9/12/2025 21:33,0,100,96,1,9/12/2025 21:33,R_646EcdtvUKExpF7,anonymous,EN,1,1,1,4,4,4,2,C37F0440805F4B17BC7F88584219F34C,0,NA
9/12/2025 21:33,9/12/2025 21:34,0,100,26,1,9/12/2025 21:34,R_3wEmXyJw0cFaIGw,anonymous,EN,-1,-1,-1,4,3,3,2,971EA2EA6F5148F4B49D71C60242DEFE,0,NA
9/12/2025 21:33,9/12/2025 21:34,0,100,24,1,9/12/2025 21:34,R_6WDnqdHIMcEqXsh,anonymous,EN,-1,-1,-1,4,3,3,2,C1517D46BA0548F09877CF49EA6C56A7,0,NA
9/12/2025 21:33,9/12/2025 21:34,0,100,26,1,9/12/2025 21:34,R_695EWsauSowvHXB,anonymous,EN,1,1,1,4,2,2,1,FE5215A81567489FBC60930236B1C65E,0,NA
9/12/2025 21:34,9/12/2025 21:34,0,100,17,1,9/12/2025 21:34,R_77v7lrtr6syJXmz,anonymous,EN,1,1,1,4,4,2,1,17303E18C2A14A0ABC2D2DCB050E05CF,1,NA
9/12/2025 21:34,9/12/2025 21:34,0,100,28,1,9/12/2025 21:34,R_5CdbkEPkrhZI7mr,anonymous,EN,-2,-2,-2,3,2,4,1,20F8DC91C6AB44B0A035C458E75BF025,0,NA
9/12/2025 21:34,9/12/2025 21:34,0,100,35,1,9/12/2025 21:34,R_6320izyidYKZ9z3,anonymous,EN,2,1,1,5,4,3,1,125168FA5CB249C08BA2CC954313AC3E,1,NA
9/12/2025 21:34,9/12/2025 21:34,0,100,32,1,9/12/2025 21:35,R_1KlG1mxbOrKqmqZ,anonymous,EN,-1,-1,-1,4,3,1,1,A012A26BAE7540D4A662604B975D2E72,0,NA
9/12/2025 21:34,9/12/2025 21:35,0,100,16,1,9/12/2025 21:35,R_32QnFJBbWvrBi85,anonymous,EN,0,0,0,3,3,3,2,671DE28C57A549ED8581919828488C5E,1,NA
9/12/2025 21:34,9/12/2025 21:35,0,100,39,1,9/12/2025 21:35,R_3e9fj9joOYbtbZP,anonymous,EN,1,1,2,2,4,3,1,521DD6E81AE643A2A85FE1096F4AD432,1,NA
9/12/2025 21:34,9/12/2025 21:35,0,100,36,1,9/12/2025 21:35,R_6q7OwaobEvZg7IN,anonymous,EN,-2,-2,-2,2,3,3,1,777D5FD3181E4DCC93A94BED9C7BD882,1,NA
9/12/2025 21:34,9/12/2025 21:35,0,100,25,1,9/12/2025 21:35,R_1hG2fpwDPAFeXgw,anonymous,EN,-1,-1,-1,3,3,3,2,6006B41E2D5A46B6958A7D3B26E8193B,0,NA
9/12/2025 21:34,9/12/2025 21:35,0,100,38,1,9/12/2025 21:35,R_1baYaa5iY67zHSV,anonymous,EN,-2,-2,-2,3,3,3,2,67A379BCCCA845FEADB981C8F6D9E179,0,NA
9/12/2025 21:34,9/12/2025 21:35,0,100,51,1,9/12/2025 21:35,R_6sXczzIRNs74jwn,anonymous,EN,1,1,1,3,3,2,1,CA38010E742E404DB30BC161531E10FF,1,NA
9/12/2025 21:35,9/12/2025 21:35,0,100,32,1,9/12/2025 21:35,R_5MtlxLFeX99DDpO,anonymous,EN,1,1,0,3,4,4,1,3D2DB2CE66AF4513A1DF345A9F5C1C1F,1,NA
9/12/2025 21:35,9/12/2025 21:35,0,100,34,1,9/12/2025 21:35,R_5C8VX6KELQv7ly9,anonymous,EN,2,2,2,3,3,3,1,9C7309B2B9AC421BB26E215BD294E3FF,1,NA
